,index,site_key,pedon_key,year,geometry,carbon_sum,landcover,value
135,0.0,54906,55707,1976,POINT (119519.64030262189 2749768.805350253),33.79999876022339,[8],
131,0.0,55403,56204,1980,POINT (79795.91291473129 2590854.0895769307),12.000000476837158,[16],
125,0.0,56204,57005,2011,POINT (182715.51923491142 2759758.8929286166),26.80000066757202,[1],
133,0.0,56201,57002,2011,POINT (195657.5797566905 2697025.4386350494),12.600000500679016,[2],
138,0.0,56203,57004,2011,POINT (220225.72460243705 2724988.7983258497),9.699999898672104,[13],
145,0.0,55946,56747,2011,POINT (59438.384751996666 2386243.398821702),5.400000214576721,[16],
146,0.0,56202,57003,2011,POINT (202194.97942895596 2713562.3034943095),25.69999960064888,[16],
124,0.0,55833,56634,2010,POINT (-23467.87892954053 2340362.6839852603),81.80000042915344,[13],
126,0.0,55869,56670,2010,POINT (-62078.744980712276 2849170.995435085),109.69999766349792,[13],
127,0.0,55823,56624,2010,POINT (121.458900169929 2364464.911512507),62.69999825954437,[13],
128,0.0,55635,56436,2010,POINT (178006.3998319615 2618556.20454683),7.5,[15],
129,0.0,55796,56597,2010,POINT (-40978.69799466948 2864025.1931215585),23.99999976158142,[14],
130,0.0,55838,56639,2010,POINT (6037.459566605865 2512398.7181237848),125.89999890327454,[13],
132,0.0,55840,56641,2010,POINT (6135.05546350542 2511741.804352878),114.40000188350677,[13],
134,0.0,55794,56595,2010,POINT (-83981.07523039103 2845624.0618931185),106.50000214576721,[14],
136,0.0,55795,56596,2010,POINT (-78413.06512227212 2844182.293178484),120.00000178813934,[13],
137,0.0,55834,56635,2010,POINT (-10032.713506563707 2344463.9577781986),122.30000174045563,[13],
139,0.0,55821,56622,2010,POINT (18506.275362784338 2375699.9263934516),93.9999988079071,[13],
140,0.0,55865,56666,2010,POINT (185011.000362912 2847981.777244767),122.5999984741211,[14],
141,0.0,55866,56667,2010,POINT (-37832.96843103961 2845982.258471643),147.60000443458557,[13],
142,0.0,55835,56636,2010,POINT (-9808.382481616121 2350313.2971518002),91.3000019788742,[13],
143,0.0,55681,56482,2010,POINT (211469.40890067013 2528498.379080324),10.400000154972076,[13],
144,0.0,55868,56669,2010,POINT (-60309.73967096553 2858977.8534510504),84.90000188350677,[13],
180,0.0,55634,56435,2010,POINT (234148.4992044521 2613428.5123582045),4.300000064074993,[16],
181,0.0,55822,56623,2010,POINT (17094.0100678986 2399998.6523455866),116.90000313520432,[13],
182,0.0,55871,56672,2010,POINT (-81219.77239163758 2843746.381057777),222.5999937057495,[11],
183,0.0,55873,56674,2010,POINT (-80959.99235253963 2840940.324658951),113.8999999165535,[14],
114,0.0,22963,22963,1997,POINT (-3361.3751774075663 2786126.1323749935),52.649999260902405,[13],
110,0.0,23126,23126,1995,POINT (177639.14897015737 2537838.7501123385),2.5199999436736107,[8],
118,0.0,23069,23069,1995,POINT (263269.2199726878 2751298.502354059),2.729999938979745,[0],
119,0.0,23125,23125,1995,POINT (177632.48182522116 2538116.1524956767),3.8399999756366014,[13],
120,0.0,23134,23134,1995,POINT (194276.57315239028 2548007.211115462),6.020000018179417,[15],
121,0.0,23070,23070,1995,POINT (280987.8030117769 2731371.6461999365),14.71000038832426,[13],
159,0.0,23135,23135,1995,POINT (203465.86370056393 2549087.770032061),6.100000090897083,[15],
96,0.0,22701,22701,1996,POINT (134424.79786517008 2416002.6150649926),165.00000077486038,[1],
100,0.0,23084,23084,1996,POINT (257091.43159994757 2659928.786973034),73.069997664541,[0],
103,0.0,22700,22700,1996,POINT (134529.79462821642 2415395.281328785),135.65000157803297,[13],
104,0.0,22708,22708,1996,POINT (-1270.9760945632086 2848639.2041540225),104.21999834477901,[13],
105,0.0,22706,22706,1996,POINT (-16471.735079075286 2848575.584542285),63.25000124424696,[15],
106,0.0,22707,22707,1996,POINT (-3973.727340102537 2848762.305346807),54.76000000536442,[13],
109,0.0,23123,23123,1996,POINT (194616.93786390914 2553939.1136702043),4.819999892264605,[1],
112,0.0,22705,22705,1996,POINT (-34287.20708819433 2771611.7513531316),111.18999922275543,[14],
113,0.0,22703,22703,1996,POINT (-33874.900037092375 2770705.9720174624),46.66000109910965,[13],
115,0.0,23071,23071,1996,POINT (253940.2095520102 2812572.81796346),3.710000015795231,[2],
116,0.0,22702,22702,1996,POINT (134137.26020263342 2416461.382470469),139.86999781429768,[13],
117,0.0,22704,22704,1996,POINT (-33624.21067567319 2770609.696985909),31.439999878406525,[13],
122,0.0,23122,23122,1996,POINT (195567.8880374455 2553871.9223030224),1.3199999704957008,[13],
174,0.0,23132,23132,1996,POINT (219949.0581974074 2572540.0621073563),1.3099999707192183,[13],
179,0.0,23137,23137,1996,POINT (194266.76554920914 2574530.236412439),2.0399999544024467,[13],
82,0.0,21247,21247,1994,POINT (228898.23191120653 2492549.9220373454),67.75999964773655,[16],
83,0.0,21250,21250,1994,POINT (196422.27582071742 2343694.799631428),213.42000350356102,[16],
93,0.0,21881,21881,1994,POINT (268843.1652164607 2685616.194424585),18.300000108778477,[13],
94,0.0,21249,21249,1994,POINT (228898.23191120653 2492549.9220373454),6.960000038146973,[8],
95,0.0,21253,21253,1994,POINT (196462.46355703005 2343695.84041226),145.52000226080418,[14],
97,0.0,21872,21872,1994,POINT (252576.06401963465 2670424.0007983595),15.569999685510993,[14],
98,0.0,21873,21873,1994,POINT (302515.4106957028 2701211.755588518),32.95000047236681,[13],
99,0.0,21876,21876,1994,POINT (302064.73129037675 2700854.7531344118),11.950000017881393,[13],
101,0.0,21255,21255,1994,POINT (196545.28140497944 2343697.9858984463),124.30000378191471,[2],
102,0.0,21248,21248,1994,POINT (228898.23191120653 2492549.9220373454),56.17999871075153,[2],
107,0.0,21252,21252,1994,POINT (196448.46369877047 2343695.477820152),173.759998857975,[14],
108,0.0,21254,21254,1994,POINT (196472.81578930546 2343696.108548584),161.15999901294708,[16],
111,0.0,21874,21874,1994,POINT (302484.61776506464 2700933.5227905973),8.030000071972609,[14],
158,0.0,21251,21251,1994,POINT (196430.80025065123 2343695.0203790637),166.7799949347973,[13],
172,0.0,21875,21875,1994,POINT (302671.78958063625 2701002.999924011),40.03000029735267,[13],
173,0.0,21878,21878,1994,POINT (262101.99872302153 2677805.002563036),17.389999501407146,[13],
74,0.0,20493,20493,1993,POINT (4835.813664377985 2575932.500043579),67.82999970763922,[13],
78,0.0,20492,20492,1993,POINT (4835.813664377985 2575932.500043579),74.00999933481216,[16],
79,0.0,20595,20595,1993,POINT (-56486.314603510655 2784878.531480718),216.1899976581335,[13],
80,0.0,20598,20598,1993,POINT (-69209.1591710693 2808043.1808012705),130.05999764800072,[13],
81,0.0,20495,20495,1993,POINT (4882.9991448766905 2575997.2864700803),167.23999920487404,[13],
84,0.0,20134,20134,1993,POINT (214685.7172848949 2376913.848032183),53.02999931573868,[13],
